Sample	Plasmid_PPI	Chrom_PPI	Fraction
Clostridiales_bacterium_S7-1-4_	21440	1135	0.950
Clostridiales_bacterium_VE202-08_	0	172658	0.000
Clostridiales_bacterium_VE202-09_	0	132328	0.000
Clostridiales_bacterium_VE202-13_	0	68065	0.000
Clostridiales_bacterium_VE202-14_	0	50505	0.000
Clostridiales_bacterium_VE202-18_	0	140965	0.000
Clostridiales_bacterium_VE202-21_	0	109911	0.000
Clostridiales_genomosp._BVAB3_str._UPII9-5_	14375	1142	0.926
Clostridiisalibacter_paucivorans_DSM_22131_	0	56463	0.000
Clostridium_acetobutylicum_ATCC_824_	50125	3279	0.939
[Clostridium]_acidurici_9a_	32269	1692	0.950
Clostridium_algidicarnis_	0	49950	0.000
[Clostridium]_aminophilum_DSM_10710_	39348	2010	0.951
Clostridium_arbusti_SL206_	0	61652	0.000
Clostridium_baratii_str._Sullivan_	32317	2772	0.921
Clostridium_beijerinckii_NCIMB_8052_	82346	10718	0.885
[Clostridium]_bifermentans_WYM_	49175	2697	0.948
[Clostridium]_bolteae_ATCC_BAA-613_	112539	23504	0.827
Clostridium_botulinum_202F_	60063	4478	0.931
Clostridium_botulinum_A2_str._Kyoto_	40038	4055	0.908
Clostridium_botulinum_BKT015925_	31093	2599	0.923
Clostridium_botulinum_C-D_str._BKT12695_	42952	1632	0.963
Clostridium_botulinum_D_str._1873_	42522	675	0.984
Clostridium_botulinum_E1_str._'BoNT_E_Beluga'_	56382	3212	0.946
Clostridium_botulinum_NCTC_2916_	66294	1926	0.972
Clostridium_butyricum_E4_str._BoNT_E_BL5262_	45547	5387	0.894
Clostridium_cadaveris_AGR2141_	56308	3239	0.946
Clostridium_carboxidivorans_P7_	67530	10598	0.864
Clostridium_celatum_DSM_1785_	48891	3883	0.926
Clostridium_cellulolyticum_H10_	41851	8903	0.825
Clostridium_cellulovorans_743B_	52652	6630	0.888
[Clostridium]_citroniae_WAL-17108_	126335	16300	0.886
[Clostridium]_clariflavum_DSM_19732_	49918	10382	0.828
[Clostridium]_clostridioforme_2_1_49FAA_	78566	12740	0.860
Clostridium_colicanis_209318_	47858	2671	0.947
Clostridium_drakei_	0	117065	0.000
[Clostridium]_hiranonis_DSM_13275_	29624	1871	0.941
[Clostridium]_hylemonae_DSM_15053_	69752	2935	0.960
[Clostridium]_innocuum_2959_	341514	5448	0.984
Clostridium_intestinale_URNW_	135519	4333	0.969
[Clostridium]_josui_JCM_17888_	0	67119	0.000
Clostridium_kluyveri_DSM_555_	45467	5718	0.888
Clostridium_lentocellum_DSM_5427_	36154	10072	0.782
[Clostridium]_leptum_DSM_753_	40153	7167	0.849
[Clostridium]_litorale_DSM_5388_	59218	971	0.984
Clostridium_ljungdahlii_DSM_13528_	48631	4019	0.924
Clostridium_lundense_DSM_17049_	0	83047	0.000
[Clostridium]_mangenotii_TR_	0	44812	0.000
[Clostridium]_methylpentosum_DSM_5476_	33211	5613	0.855
Clostridium_novyi_B_str._NCTC_9691_	40253	1638	0.961
Clostridium_novyi_NT_	36637	1719	0.955
Clostridium_orbiscindens_1_3_50AFAA_	39422	12185	0.764
[Clostridium]_papyrosolvens_DSM_2782_	63163	9108	0.874
Clostridium_paraputrificum_AGR2156_	79349	2194	0.973
Clostridium_pasteurianum_BC1_	42545	7262	0.854
Clostridium_pasteurianum_DSM_525_=_ATCC_6013_	48886	2179	0.957
Clostridium_perfringens_ATCC_13124_	34051	1607	0.955
Clostridium_saccharobutylicum_DSM_13864_	69924	2200	0.969
[Clostridium]_saccharogumia_DSM_17460_	0	47497	0.000
[Clostridium]_saccharolyticum_WM1_	48988	17811	0.733
Clostridium_saccharoperbutylacetonicum_N1-4	95835	3906	0.961
[Clostridium]_scindens_ATCC_35704_	52443	5127	0.911
Clostridium_senegalense_JC122_	0	51440	0.000
[Clostridium]_sordellii_VPI_9048_	36142	1941	0.949
Clostridium_sp._01_	0	62419	0.000
Clostridium_sp._12	0	77531	0.000
Clostridium_sp._7_2_43FAA_	70083	2298	0.968
Clostridium_sp._Ade.TY_	0	55352	0.000
Clostridium_sp._ASBs410_	107822	14420	0.882
Clostridium_sp._ASF356_	38156	3773	0.910
Clostridium_sp._ASF502_	63165	19659	0.763
Clostridium_sp._ATCC_29733_	35600	5310	0.870
Clostridium_sp._BNL1100_	44005	10610	0.806
Clostridium_sp._CL-2_	0	101482	0.000
Clostridium_sp._CL-6_	0	53844	0.000
Clostridium_sp._D5_	88817	8053	0.917
Clostridium_sp._DL-VIII_	111000	7592	0.936
Clostridium_sp._HGF2_	225014	1850	0.992
Clostridium_sp._HMP27_	51592	2812	0.948
[Clostridium]_spiroforme_DSM_1552_	36518	1461	0.962
Clostridium_sp._JCC_	0	54280	0.000
Clostridium_sp._KLE_1755_	64258	36518	0.638
Clostridium_sp._KNHs205_	0	92364	0.000
Clostridium_sp._KNHs209_	0	76938	0.000
Clostridium_sp._L2-50_	30635	3167	0.906
Clostridium_sp._LF2_	0	62457	0.000
Clostridium_sp._M2-40_	36192	3032	0.923
Clostridium_sp._Maddingley_MBC34-26_	155160	9880	0.940
Clostridium_sp._MSTE9_	52267	2376	0.957
[Clostridium]_sporosphaeroides_DSM_1294_	0	39784	0.000
Clostridium_sp._SY8519_	28019	1834	0.939
[Clostridium]_stercorarium_subsp._stercorarium_DSM_8532_	34800	725	0.980
[Clostridium]_sticklandii_	33098	1617	0.953
Clostridium_sulfidigenes_	40680	2172	0.949
[Clostridium]_symbiosum_WAL-14163_	62202	12536	0.832
[Clostridium]_symbiosum_WAL-14673_	76191	2306	0.971
[Clostridium]_termitidis_CT1112_	86789	23591	0.786
Clostridium_tetanomorphum_DSM_665_	129550	6649	0.951
Clostridium_tyrobutyricum_DSM_2637_=_ATCC_25755_=_JCM_11008_	34890	2285	0.939
Clostridium_ultunense_DSM_10521_	0	57683	0.000
[Clostridium]_viride_DSM_6836_	0	32924	0.000
Cobetia_crustatorum_	0	49051	0.000
Cobetia_marina_	24724	2851	0.897
Cohnella_laeviribosi_DSM_21336_	0	78371	0.000
Coleofasciculus_chthonoplastes_PCC_7420_	136095	17147	0.888
Collimonas_fungivorans_Ter331_	50986	1524	0.971
Collinsella_intestinalis_DSM_13280_	41419	563	0.987
Collinsella_sp._4_8_47FAA_	29325	2018	0.936
Collinsella_stercoris_DSM_13279_	56207	968	0.983
Collinsella_tanakaei_YIT_12063_	51957	1612	0.970
Colwellia_piezophila_ATCC_BAA-637_	0	71235	0.000
Colwellia_psychrerythraea_	49036	5941	0.892
Comamonadaceae_bacterium_H1_	0	43297	0.000
Comamonas_aquatica_NBRC_14918_	58526	2106	0.965
Comamonas_granuli_NBRC_101663_	0	62874	0.000
Comamonas_testosteroni_CNB-2_	52191	11143	0.824
Comamonas_testosteroni_KF-1_	86147	13238	0.867
Commensalibacter_intestini_A911_	28634	1590	0.947
Commensalibacter_sp._MX01_	29362	1141	0.963
Conchiformibius_kuhniae_DSM_17694_	0	27545	0.000
Conchiformibius_steedae_DSM_2580_	0	29193	0.000
Conexibacter_woesei_DSM_14684_	68191	24171	0.738
Conexibacter_woesei_Iso977N_	0	73970	0.000
Congregibacter_litoralis_KT71_	51833	7022	0.881
Coprobacillus_sp._29_1_	161763	5308	0.968
Coprobacter_fastidiosus_NSB1_	35558	4942	0.878
Coprococcus_eutactus_ATCC_27759_	34605	2775	0.926
Coprothermobacter_platensis_DSM_11748_	0	26416	0.000
Coprothermobacter_proteolyticus_DSM_5265_	20353	450	0.978
Coraliomargarita_akajimensis_DSM_45221_	24918	7198	0.776
Corallococcus_coralloides_DSM_2259_	116720	4077	0.966
Coriobacteriaceae_bacterium_BV3Ac1_	24451	841	0.967
Coriobacteriaceae_bacterium_GD5_	0	47552	0.000
Coriobacterium_glomerans_PW2_	25537	2481	0.911
Corynebacterium_accolens_ATCC_49725_	33094	1027	0.970
Corynebacterium_ammoniagenes_DSM_20306_	27027	1376	0.952
Corynebacterium_amycolatum_SK46_	31585	658	0.980
Corynebacterium_argentoratense_DSM_44202_	21754	1206	0.947
Corynebacterium_atypicum_	16889	1221	0.933
Corynebacterium_aurimucosum_ATCC_700975_	27187	1028	0.964
Corynebacterium_callunae_DSM_20147_	24565	2533	0.907
Corynebacterium_capitovis_DSM_44611_	0	29758	0.000
Corynebacterium_casei_LMG_S-19264_	25372	2753	0.902
Corynebacterium_caspium_DSM_44850_	0	27718	0.000
Corynebacterium_ciconiae_DSM_44920_	0	35083	0.000
Corynebacterium_diphtheriae_PW8_	27013	624	0.977
Corynebacterium_doosanense_CAU_212_=_DSM_45436_	24835	2130	0.921
Corynebacterium_durum_F0235_	34984	1789	0.951
Corynebacterium_falsenii_DSM_44353_	23107	2018	0.920
Corynebacterium_freiburgense_DSM_45254_	0	35399	0.000
Corynebacterium_freneyi_DNF00450_	31663	783	0.976
Corynebacterium_genitalium_ATCC_33030_	33491	805	0.977
Corynebacterium_glucuronolyticum_ATCC_51867_	37518	1040	0.973
Corynebacterium_glutamicum_ATCC_13032_	31778	1186	0.964
Corynebacterium_glycinophilum_AJ_3170_	31771	2198	0.935
Corynebacterium_halotolerans_YIM_70093_=_DSM_44683_	26507	2487	0.914
Corynebacterium_imitans_	20151	419	0.980
Corynebacterium_jeikeium_K411_	25603	621	0.976
Corynebacterium_kroppenstedtii_DSM_44385_	24445	674	0.973
Corynebacterium_lipophiloflavum_DSM_44291_	34086	940	0.973
Corynebacterium_lubricantis_DSM_45231_	0	38522	0.000
Corynebacterium_maris_DSM_45190_	25487	2266	0.918
Corynebacterium_massiliense_DSM_45435_	0	29978	0.000
Corynebacterium_mastitidis_DSM_44356_	0	30784	0.000
Corynebacterium_matruchotii_ATCC_14266_	30958	1228	0.962
Corynebacterium_nuruki_S6-4_	0	38425	0.000
Corynebacterium_pilosum_DSM_20521_	0	35675	0.000
Corynebacterium_propinquum_DSM_44285_	0	32003	0.000
Corynebacterium_pseudogenitalium_ATCC_33035_	33711	1299	0.963
Corynebacterium_pseudotuberculosis_	35169	454	0.987
Corynebacterium_pyruviciproducens_ATCC_BAA-1742_	35350	1874	0.950
Corynebacterium_resistens_DSM_45100_	24735	1041	0.960
Corynebacterium_sp._ATCC_6931_	24605	991	0.961
Corynebacterium_sp._GD7_	0	31224	0.000
Corynebacterium_sp._JCB_	0	32431	0.000
Corynebacterium_sp._KPL1859_	0	34672	0.000
Corynebacterium_sp._KPL1860_	0	35049	0.000
Corynebacterium_sp._KPL1989_	30425	1286	0.959
Corynebacterium_sp._KPL2004_	0	35241	0.000
Corynebacterium_sputi_DSM_45148_	0	38547	0.000
Corynebacterium_striatum_ATCC_6940_	25708	1443	0.947
Corynebacterium_terpenotabidum_Y-11_	24033	2319	0.912
Corynebacterium_timonense_5401744_	32684	1537	0.955
Corynebacterium_tuscaniense_DNF00037_	26346	606	0.978
Corynebacterium_ulcerans_BR-AD22_	28354	908	0.969
Corynebacterium_ulceribovis_DSM_45146_	0	33464	0.000
Corynebacterium_urealyticum_DSM_7109_	22418	1358	0.943
Corynebacterium_variabile_DSM_44702_	30247	1903	0.941
Corynebacterium_vitaeruminis_DSM_20294_	27011	2627	0.911
Coxiella_burnetii_RSA_493_	22913	406	0.983
Criblamydia_sequanensis_CRIB-18_	28415	774	0.973
Crinalium_epipsammum_PCC_9333_	48438	12194	0.799
Croceibacter_atlanticus_HTCC2559_	28260	5511	0.837
Crocinitomix_catalasitica_ATCC_23190_	0	44400	0.000
Cronobacter_condimenti_1330_	52037	4515	0.920
Cryobacterium_roopkundense_	39097	2460	0.941
Cryptobacterium_curtum_DSM_15641_	16949	921	0.948
Cupriavidus_metallidurans_CH34_	84652	6120	0.933
Cupriavidus_sp._amp6_	0	133860	0.000
Cupriavidus_sp._BIS7_	0	95479	0.000
Cupriavidus_taiwanensis_LMG_19424_	89042	5051	0.946
Curtobacterium_sp._S6_	0	33216	0.000
Cyanobacterium_aponinum_PCC_10605_	44670	10056	0.816
cyanobacterium_PCC_7702_	0	88174	0.000
Cyanobacterium_stanieri_PCC_7202_	31005	5073	0.859
Cyanobium_gracile_PCC_6307_	35227	3708	0.905
Cyanobium_sp._CACIAM_14_	41874	2227	0.950
Cyanobium_sp._PCC_7001_	54238	593	0.989
Cyanothece_sp._ATCC_51142_	55867	10114	0.847
Cyanothece_sp._CCY0110_	70516	12962	0.845
Cyanothece_sp._PCC_7424_	47362	12451	0.792
Cyanothece_sp._PCC_7425_	45663	9781	0.824
Cyanothece_sp._PCC_7822_	51967	12965	0.800
Cyanothece_sp._PCC_8801_	42652	13004	0.766
Cyclobacteriaceae_bacterium_AK24_	0	55431	0.000
Cyclobacterium_marinum_DSM_745_	40397	27488	0.595
Cyclobacterium_qasimii_M12-11B_	65260	19079	0.774
Cycloclasticus_zancles_7-ME_	31926	2107	0.938
Cylindrospermopsis_raciborskii_CS-505_	63419	6146	0.912
Cylindrospermum_stagnale_PCC_7417_	50077	14197	0.779
Cystobacter_fuscus_DSM_2262_	114566	35297	0.764
Cytophaga_aurantiaca_DSM_3654_	0	63163	0.000
Cytophaga_fermentans_DSM_9555_=_JCM_21142_	61092	11571	0.841
Cytophaga_hutchinsonii_ATCC_33406_	59969	2251	0.964
Dactylococcopsis_salina_PCC_8305_	34735	7999	0.813
Dactylosporangium_aurantiacum_	0	197589	0.000
Dasania_marina_DSM_21967_	0	60052	0.000
Dechloromonas_agitata_is5_	0	73003	0.000
Dechloromonas_aromatica_RCB_	69001	7493	0.902
Dechlorosoma_suillum_PS_	52221	5477	0.905
Deferribacter_desulfuricans_SSM1_	36533	1481	0.961
Deferrisoma_camini_S3R1_	0	80085	0.000
Defluviimonas_sp._20V17_	93358	5924	0.940
Dehalobacter_sp._CF_	36638	3674	0.909
Dehalobacter_sp._FTH1_	0	54562	0.000
Dehalococcoides_mccartyi_195_	17274	2079	0.893
Dehalococcoides_mccartyi_CBDB1_	15517	1236	0.926
Dehalococcoides_mccartyi_VS_	15001	1112	0.931
Dehalogenimonas_lykanthroporepellens_BL-DC-9_	16280	1907	0.895
Deinococcus_apachensis_DSM_19763_	0	46687	0.000
Deinococcus_aquatilis_DSM_23025_	0	49532	0.000
Deinococcus_deserti_VCD115_	24775	2241	0.917
Deinococcus_frigens_DSM_12807_	0	45315	0.000
Deinococcus_geothermalis_DSM_11300_	35360	3959	0.899
Deinococcus_gobiensis_I-0_	28265	1579	0.947
Deinococcus_maricopensis_DSM_21211_	27985	4523	0.861
Deinococcus_marmoris_DSM_12784_	45301	5828	0.886
Deinococcus_misasensis_DSM_22328_	0	58067	0.000
Deinococcus_peraridilitoris_DSM_19664_	30434	7241	0.808
Deinococcus_phoenicis_	42185	2942	0.935
Deinococcus_pimensis_DSM_21231_	0	57473	0.000
Deinococcus_proteolyticus_MRP_	24747	1171	0.955
Deinococcus_radiodurans_R1_	35963	2703	0.930
Deinococcus_sp._2009_	0	44991	0.000
Deinococcus_sp._RL_	36860	2515	0.936
Deinococcus_wulumuqiensis_R12_	0	37288	0.000
Delftia_acidovorans_SPH-1_	62748	20302	0.756
Demetria_terragena_DSM_11295_	0	49977	0.000
Denitrovibrio_acetiphilus_DSM_12809_	42459	4841	0.898
Dermabacter_sp._HFH0086_	28425	2294	0.925
Dermacoccus_nishinomiyaensis_	25027	2455	0.911
Dermacoccus_sp._Ellin185_	40609	1231	0.971
Desmospora_sp._8437_	57491	1391	0.976
Desulfarculus_baarsii_DSM_2075_	42107	6721	0.862
Desulfatibacillum_alkenivorans_AK-01_	69246	13650	0.835
Desulfitobacterium_dehalogenans_ATCC_51507_	49701	10161	0.830
Desulfitobacterium_dichloroeliminans_LMG_P-21439_	37537	7219	0.839
Desulfitobacterium_hafniense_Y51_	60207	12176	0.832
Desulfitobacterium_metallireducens_DSM_15288_	35411	2758	0.928
Desulfobacca_acetoxidans_DSM_11109_	29538	3997	0.881
Desulfobacter_curvatus_DSM_3379_	0	98501	0.000
Desulfobacterium_autotrophicum_HRM2_	69608	3686	0.950
Desulfobacter_postgatei_2ac9_	50476	4796	0.913
Desulfobacula_sp._TS_	0	151422	0.000
Desulfobulbus_japonicus_DSM_18378_	0	86132	0.000
Desulfocapsa_sulfexigens_DSM_10523_	37496	5629	0.869
Desulfococcus_multivorans_DSM_2059_	36608	5753	0.864
Desulfococcus_oleovorans_Hxd3_	34493	5939	0.853
Desulfocurvus_vexinensis_DSM_17965_	0	63237	0.000
Desulfohalobium_retbaense_DSM_5692_	32749	2974	0.917
Desulfomicrobium_baculatum_DSM_4028_	51279	7443	0.873
Desulfomonile_tiedjei_DSM_6799_	67607	12646	0.842
Desulfonatronospira_thiodismutans_ASO3-1_	57881	5981	0.906
Desulfonatronovibrio_hydrogenovorans_DSM_9292_	0	46281	0.000
Desulfonauticus_sp._A7A_	0	32355	0.000
Desulforegula_conservatrix_Mb1Pa_	0	80253	0.000
Desulfosarcina_sp._BuS5_	0	50896	0.000
Desulfospira_joergensenii_DSM_10085_	0	128636	0.000
Desulfosporosinus_acidiphilus_SJ4_	47989	7181	0.870
Desulfosporosinus_meridiei_DSM_13257_	46332	9626	0.828
Desulfosporosinus_orientis_DSM_765_	86256	11263	0.885
Desulfosporosinus_sp._HMP52_	73556	4140	0.947
Desulfosporosinus_sp._OT_	99625	4339	0.958
Desulfosporosinus_youngiae_DSM_17734_	99137	9661	0.911
Desulfotalea_psychrophila_LSv54_	35967	3897	0.902
Desulfotomaculum_acetoxidans_DSM_771_	40852	7466	0.845
Desulfotomaculum_alcoholivorax_DSM_16058_	0	58907	0.000
Desulfotomaculum_alkaliphilum_DSM_12257_	0	44890	0.000
Desulfotomaculum_carboxydivorans_CO-1-SRB_	34285	2309	0.937
Desulfotomaculum_gibsoniae_DSM_7213_	55331	8437	0.868
[Desulfotomaculum]_guttoideum_DSM_4024_	255916	10926	0.959
Desulfotomaculum_hydrothermale_Lam5_=_DSM_18033_	45276	1218	0.974
Desulfotomaculum_kuznetsovii_DSM_6115_	47384	5993	0.888
Desulfotomaculum_nigrificans_DSM_574_	0	53168	0.000
Desulfotomaculum_reducens_MI-1_	41850	4075	0.911
Desulfotomaculum_ruminis_DSM_2154_	43538	6892	0.863
Desulfotomaculum_thermocisternum_DSM_10259_	0	47859	0.000
Desulfovibrio_acrylicus_DSM_10141_	0	48986	0.000
Desulfovibrio_aespoeensis_Aspo-2_	48530	5447	0.899
Desulfovibrio_africanus_str._Walvis_Bay_	50615	6953	0.879
Desulfovibrio_alaskensis_G20_	44620	5276	0.894
Desulfovibrio_alcoholivorans_DSM_5433_	0	105157	0.000
Desulfovibrio_alkalitolerans_DSM_16529_	52591	3598	0.936
Desulfovibrio_aminophilus_DSM_12254_	0	63935	0.000
Desulfovibrio_bastinii_DSM_16055_	0	73275	0.000
Desulfovibrio_cf._magneticus_IFRC170_	0	96311	0.000
Desulfovibrio_desulfuricans_ND132_	50439	5080	0.908
Desulfovibrio_desulfuricans_subsp._desulfuricans_DSM_642_	19846	32322	0.380
Desulfovibrio_desulfuricans_subsp._desulfuricans_str._ATCC_27774_	34123	3348	0.911
Desulfovibrio_frigidus_DSM_17176_	0	85838	0.000
Desulfovibrio_fructosivorans_JJ_	100507	7432	0.931
Desulfovibrio_gigas_DSM_1382_=_ATCC_19364_	58852	2582	0.958
Desulfovibrio_hydrothermalis_AM13_=_DSM_14728_	53105	2203	0.960
Desulfovibrio_longus_DSM_6739_	0	75371	0.000
Desulfovibrio_magneticus_RS-1_	90401	5250	0.945
Desulfovibrio_oxyclinae_DSM_11498_	0	59398	0.000
Desulfovibrio_piezophilus_C1TLV30_	57751	1561	0.974
Desulfovibrio_piger_ATCC_29098_	23372	4149	0.849
Desulfovibrio_salexigens_DSM_2638_	54875	6520	0.894
Desulfovibrio_sp._3_1_syn3_	0	47344	0.000
Desulfovibrio_sp._6_1_46AFAA_	42466	5608	0.883
Desulfovibrio_sp._FW1012B_	86607	5024	0.945
Desulfovibrio_sp._L21-Syr-AB_	0	63387	0.000
Desulfovibrio_sp._U5L_	97365	4999	0.951
Desulfovibrio_sp._X2_	73544	4284	0.945
Desulfovibrio_vulgaris_str._Hildenborough_	53569	4227	0.927
Desulfovibrio_vulgaris_str._'Miyazaki_F'_	46589	4495	0.912
Desulfovirgula_thermocuniculi_DSM_16036_	0	64766	0.000
Desulfurella_acetivorans_A63_	27479	1272	0.956
Desulfurispirillum_indicum_S5_	38595	3287	0.922
Desulfurispora_thermophila_DSM_16022_	0	51234	0.000
Desulfurivibrio_alkaliphilus_AHT2_	31687	4350	0.879
Desulfurobacterium_sp._TC5-1_	0	26317	0.000
Desulfurobacterium_thermolithotrophum_DSM_11699_	22380	441	0.981
Desulfuromonas_sp._TF_	0	77309	0.000
Dethiobacter_alkaliphilus_AHT_1_	52078	2947	0.946
Dethiosulfovibrio_peptidovorans_DSM_11002_	42478	3189	0.930
Devosia_sp._LC5_	52187	7539	0.874
Dialister_invisus_DSM_15470_	29809	1720	0.945
Dialister_micraerophilus_DSM_19965_	21816	213	0.990
Dialister_microaerophilus_UPII_345-E_	21879	760	0.966
Dialister_succinatiphilus_YIT_11850_	25584	1899	0.931
Dichelobacter_nodosus_VCS1703A_	17405	280	0.984
Dickeya_dadantii_3937_	62089	1864	0.971
Dickeya_dadantii_Ech586_	49117	5904	0.893
Dickeya_dadantii_Ech703_	49126	5590	0.898
Dickeya_sp._DW_0440_	0	62931	0.000
Dickeya_sp._NCPPB_569_	0	63279	0.000
Dickeya_zeae_Ech1591_	49485	7845	0.863
Dictyoglomus_thermophilum_H-6-12_	22945	2563	0.900
Dictyoglomus_turgidum_DSM_6724_	20318	2964	0.873
Dietzia_alimentaria_72_	39549	5636	0.875
Dietzia_sp._UCD-THP_	50323	3157	0.941
Dinoroseobacter_shibae_DFL_12_=_DSM_16493_	51490	2305	0.957
Diplosphaera_colitermitum_TAV2_	0	50919	0.000
Dokdonia_sp._4H-3-7-5_	26385	5989	0.815
Dokdonia_sp._MED134_	33849	4198	0.890
Dokdonia_sp._PRO95_	0	38681	0.000
Dolosigranulum_pigrum_ATCC_51524_	27201	749	0.973
Donghicola_xiamenensis_DSM_18339_	0	88508	0.000
Dongia_sp._URHE0060_	0	109666	0.000
Dorea_formicigenerans_4_6_53AFAA_	46836	8798	0.842
Dorea_formicigenerans_ATCC_27755_	44639	4450	0.909
Dorea_longicatena_AGR2136_	44998	3069	0.936
Dorea_longicatena_DSM_13814_	40554	3833	0.914
Dorea_sp._5-2_	68521	18492	0.787
Draconibacterium_orientale_	28511	8715	0.766
Dyadobacter_alkalitolerans_DSM_23607_	0	82416	0.000
Dyadobacter_fermentans_DSM_18053_	59224	31262	0.655
Dyadobacter_tibetensis_Y620-1_	0	69114	0.000
Dyella_ginsengisoli_LA-4_	0	68641	0.000
Dysgonomonas_gadei_ATCC_BAA-286_	44833	10107	0.816
Dysgonomonas_mossii_DSM_22836_	42107	11103	0.791
Echinicola_pacifica_DSM_19836_	0	53713	0.000
Echinicola_vietnamensis_DSM_17526_	31009	13459	0.697
Ectothiorhodospira_sp._PHS-1_	46002	1578	0.967
Edwardsiella_hoshinae_NBRC_105699_=_ATCC_33379_	41377	1795	0.958
Edwardsiella_tarda_ATCC_15947_=_NBRC_105688_	58218	1058	0.982
Eggerthella_lenta_DSM_2243_	24194	5978	0.802
Eggerthella_sp._YY7918_	23300	2446	0.905
Eggerthia_catenaformis_OT_569_=_DSM_20559_	35240	1778	0.952
Ehrlichia_canis_str._Jake_	13448	296	0.978
Ehrlichia_chaffeensis_str._Arkansas_	16125	220	0.987
Ehrlichia_ruminantium_str._Welgevonden_	13304	65	0.995
Ehrlichia_sp._HF_	12141	242	0.980
Eikenella_corrodens_ATCC_23834_	21683	964	0.957
Elioraea_tepidiphila_DSM_17972_	0	63541	0.000
Elizabethkingia_anophelis_NUHP1_	30644	9830	0.757
Elizabethkingia_meningoseptica_ATCC_13253_=_NBRC_12535_	25254	5921	0.810
Elizabethkingia_miricola_	41213	6364	0.866
Empedobacter_brevis_NBRC_14943_=_ATCC_43319_	0	45144	0.000
Emticicia_oligotrophica_DSM_17448_	40666	10992	0.787
endosymbiont_of_Acanthamoeba_sp._UWC8_	17023	1276	0.930
endosymbiont_of_Tevnia_jerichonana_	57641	805	0.986
Endozoicomonas_elysicola_	50332	2223	0.958
Endozoicomonas_montiporae_	45719	4008	0.919
Endozoicomonas_numazuensis_	43423	4705	0.902
Enhydrobacter_aerosaccus_SK60_	34549	1004	0.972
Enhygromyxa_salina_	0	252029	0.000
Enorma_massiliensis_phI_	38549	582	0.985
Ensifer_sojae_CCBAU_05684_	0	70022	0.000
Ensifer_sp._BR816_	0	128505	0.000
Ensifer_sp._TW10_	0	106282	0.000
Ensifer_sp._WSM1721_	0	105584	0.000
Enterobacter_aerogenes_KCTC_2190_	65237	4028	0.942
Enterobacter_asburiae_LF7a_	57297	5094	0.918
Enterobacter_cloacae_EcWSU1_	77681	716	0.991
Enterobacter_cloacae_JD6301_	73010	1496	0.980
Enterobacter_cloacae_subsp._cloacae_ATCC_13047_	73128	6237	0.921
Enterobacteriaceae_bacterium_B14_	0	54172	0.000
Enterobacteriaceae_bacterium_LSJC7_	0	63459	0.000
Enterobacteriaceae_bacterium_strain_FGI_57_	61391	3581	0.945
Enterobacter_lignolyticus_SCF1_	58288	4307	0.931
Enterobacter_sp._638_	55873	3869	0.935
Enterobacter_sp._R4-368_	72495	3603	0.953
Enterococcus_asini_ATCC_700915_	35639	1989	0.947
Enterococcus_avium_ATCC_14025_	285590	2564	0.991
Enterococcus_caccae_ATCC_BAA-1240_	54749	4281	0.927
Enterococcus_casseliflavus_EC20_	42980	5105	0.894
Enterococcus_cecorum_DSM_20682_=_ATCC_43198_	45600	1452	0.969
Enterococcus_columbae_DSM_7374_=_ATCC_51263_	41508	1163	0.973
Enterococcus_dispar_ATCC_51266_	46082	2449	0.950
Enterococcus_durans_ATCC_6056_	27591	4233	0.867
Enterococcus_faecalis_13-SD-W-01_	53149	2943	0.948
Enterococcus_faecalis_ATCC_29212_	39102	2247	0.946
Enterococcus_faecalis_V583_	40591	5116	0.888
Enterococcus_faecium_C68_	51963	9097	0.851
Enterococcus_faecium_NRRL_B-2354_	24700	7690	0.763
Enterococcus_gallinarum_EG2_	58687	3141	0.949
Enterococcus_gilvus_ATCC_BAA-350_	93354	5912	0.940
Enterococcus_haemoperoxidus_ATCC_BAA-382_	49001	4771	0.911
Enterococcus_hirae_ATCC_9790_	26839	2964	0.901
Enterococcus_italicus_DSM_15952_	39077	450	0.989
Enterococcus_malodoratus_ATCC_43197_	189031	3450	0.982
Enterococcus_moraviensis_ATCC_BAA-383_	64203	3498	0.948
Enterococcus_mundtii_QU_25_	35794	3018	0.922
Enterococcus_pallens_ATCC_BAA-351_	373497	4371	0.988
Enterococcus_phoeniculicola_ATCC_BAA-412_	93237	3299	0.966
Enterococcus_raffinosus_ATCC_49464_	151353	3589	0.977
Enterococcus_saccharolyticus_ATCC_43076_	43548	1878	0.959
Enterococcus_sulfureus_ATCC_49903_	39949	1427	0.966
Enterococcus_villorum_ATCC_700913_	44453	2995	0.937
Enterorhabdus_caecimuris_B7_	27687	3646	0.884
Enterorhabdus_mucosicola_DSM_19490_	0	30730	0.000
Enterovibrio_calviensis_1F-211_	0	90503	0.000
Enterovibrio_norvegicus_FF-33_	0	94657	0.000
Epilithonimonas_lactis_	43893	8753	0.834
Epilithonimonas_sp._FH1_	33127	5679	0.854
Epilithonimonas_tenax_DSM_16811_	0	42045	0.000
Eremococcus_coleocola_ACS-139-V-Col8_	32309	516	0.984
Eremococcus_coleocola_DSM_15696_	0	32902	0.000
Erwinia_amylovora_CFBP1430_	47933	897	0.982
Erwinia_billingiae_Eb661_	61883	2491	0.961
Erwinia_pyrifoliae_Ep1-96_	48844	1302	0.974
