,Sample,Plasmid_PPI,Chrom_PPI,Fraction,inputProteins,interactions,Plasmid_genes,cTri,loops,ccs,aPMNLE_all,cTri_all,loops_all,ccs_all,aPMNLE
522,Microlunatus_phosphovorus_NM-1,47511,7926,0.857,5359,55436,689,11016,15224,46,0.520134228,78257,30026,24,0.518127441
523,Pseudomonas_brassicacearum,62534,9651,0.866,5574,72184,689,25446,22046,55,0.543052752,86236,40399,41,0.524833901
524,Rhodovulum_sulfidophilum_DSM_1374,37307,3284,0.919,3710,40590,689,7475,9025,59,0.522385485,57046,21299,19,0.518342152
525,Campylobacter_concisus_13826,25417,570,0.978,2047,25986,688,2187,2431,73,0.522763764,31467,13815,29,0.426746167
526,Micromonospora_lupini_str_Lupac_08,91390,8134,0.918,7019,99523,687,45743,33796,89,0.572969032,104499,57928,64,0.550279256
527,Gordonia_hirsuta_DSM_44140_equals_NBRC_16056,54096,2489,0.956,3215,56584,686,23942,14113,21,0.539976944,80727,30560,7,0.582904727
528,Myxococcus_xanthus_DK_1622,98912,11235,0.898,7331,110146,686,188967,39561,133,0.529541999,266251,58583,95,0.520524356
529,Pseudomonas_lutea,84091,3725,0.958,4607,87815,686,39061,25894,56,0.558360927,133204,48680,41,0.578378378
530,Thermoanaerobacter_kivui,30820,968,0.97,2378,31787,686,3327,4940,34,0.544213508,38491,17309,14,0.505001725
531,Propionibacterium_granulosum_TM11,34793,201,0.994,1803,34993,683,2485,3941,49,0.559093301,51451,19429,12,0.561479869
532,Corynebacterium_resistens_DSM_45100,24735,1041,0.96,2171,25775,682,6111,4002,47,0.568099527,28539,14653,19,0.48091758
533,Neisseria_sicca_ATCC_29256,23710,2974,0.889,3660,26683,682,2949,3980,229,0.528507885,28592,14424,85,0.404014411
534,Neisseria_subflava_NJ9703,33215,1454,0.958,2621,34668,682,5563,4797,88,0.521099866,45852,18389,21,0.479648129
535,Photobacterium_angustum_S14,89012,4151,0.955,4430,93162,682,49362,28223,44,0.579539873,135105,53784,33,0.571315058
536,Pseudomonas_simiae,101322,5591,0.948,5506,106912,682,55781,34786,46,0.580653619,134564,60695,30,0.573186135
537,Pseudomonas_sp_H2,96788,4853,0.952,4985,101640,682,62674,31545,37,0.553026874,164426,54909,25,0.556442447
538,Pseudomonas_stutzeri_TS44,72449,4448,0.942,4000,76896,682,41630,20408,25,0.530946923,130120,40627,8,0.542102445
539,marine_gamma_proteobacterium_HTCC2148,63484,2192,0.967,3827,65675,681,19504,17888,41,0.564951412,78542,36459,22,0.587092004
540,Pseudomonas_mosselii_SJ10,61360,11906,0.837,5413,73265,681,36938,22897,72,0.560038094,85616,41865,42,0.540544496
541,Vibrio_genomosp_F10_str_ZF-129,74114,2422,0.968,3996,76535,681,NA,NA,NA,NA,NA,NA,NA,NA
542,Ahrensia_sp_R2A130,54434,2793,0.951,3624,57226,680,17249,13752,50,0.526208979,95909,29433,26,0.543451437
543,Pseudomonas_extremaustralis_14-3_substr_14-3b,147149,6645,0.957,5870,153793,680,135547,48951,44,0.547971081,287315,81901,34,0.539608905
544,Clostridium_acidurici_9a,32269,1692,0.95,2839,33960,679,4169,6466,47,0.57330462,37701,19772,28,0.53419674
545,Bacillus_anthracis_str_Sterne,53489,5340,0.909,5287,58828,679,15830,16672,62,0.537045438,82360,32144,40,0.531912544
546,Polymorphum_gilvum_SL003B-26A1,66879,7184,0.903,4393,74062,679,47907,21511,45,0.526915151,126521,39237,20,0.525481476
547,Actinobacillus_suis_H91-0380,28450,1067,0.964,2248,29516,678,3251,4606,28,0.546648238,33046,16556,2,0.488317757
548,Mobilicoccus_pelagius_NBRC_104925,49231,1254,0.975,3112,50484,678,5753,9660,38,0.588284746,56281,29560,15,0.573797987
549,Thermacetogenium_phaeum_DSM_12270,34574,2231,0.939,2824,36804,678,6153,6653,33,0.532969131,50713,19537,16,0.503664392
550,Clostridium_stercorarium_subsp_stercorarium_DSM_8532,34800,725,0.98,2551,35524,677,6189,6916,20,0.564419133,41063,20602,9,0.514656291
551,Corynebacterium_imitans,20151,419,0.98,2013,20569,677,2793,2427,100,0.495827625,30668,10516,31,0.44033664
552,Neisseria_lactamica_020-06,20845,1237,0.944,1972,22081,677,2645,2249,74,0.521472027,33445,11799,19,0.455532107
553,Pseudomonas_rhizosphaerae,43389,4511,0.906,3893,47899,677,11704,11604,48,0.556610688,55507,27027,21,0.516837265
554,Streptococcus_australis_ATCC_700641,37218,410,0.989,2030,37627,677,2178,4360,29,0.532300109,51927,20040,4,0.557688295
555,Glaciecola_psychrophila_170,48660,8350,0.854,5618,57009,676,14638,16232,136,0.546806823,63998,31758,94,0.514964053
556,Staphylococcus_epidermidis_RP62A,30594,1066,0.966,2491,31659,676,3378,4363,73,0.544696118,43124,17043,34,0.479162552
557,Sulfurospirillum_multivorans_DSM_12446,47338,2238,0.955,3233,49575,676,13293,11593,42,0.523946541,69651,26272,26,0.523702522
558,Planktothrix_agardhii_NIVA-CYA_126-8,74904,3724,0.953,4006,78627,675,52038,26666,36,0.534153358,121563,42255,10,0.550800084
559,Geobacillus_thermodenitrificans_NG80-2,51575,2415,0.955,3445,53989,674,18017,13988,23,0.537320524,78963,28834,11,0.546810055
560,Gordonia_effusa_NBRC_100432,65237,5466,0.923,4420,70702,674,41821,19716,66,0.56031179,100922,38706,42,0.553700516
561,Brevibacterium_mcbrellneri_ATCC_49030,37501,621,0.984,2432,38121,673,5628,6162,32,0.556598346,49635,20787,15,0.536913683
562,Gemmatimonas_aurantiaca_T-27,50233,4536,0.917,3935,54768,673,49354,15569,47,0.526434121,99594,29079,28,0.528895197
563,Lactococcus_lactis_subsp_cremoris_MG1363,28415,1026,0.965,2434,29440,673,5053,4571,48,0.553725702,31609,16949,17,0.470508867
564,Pseudomonas_stutzeri_MF28,106051,2938,0.973,4540,108988,672,68086,32376,40,0.561225071,178411,60044,21,0.56160363
565,Austwickia_chelonae_NBRC_105200,51306,1981,0.963,3048,53286,671,9275,11094,34,0.526402382,74199,28264,21,0.572591903
566,Eubacterium_acidaminophilum_DSM_3953,36916,2767,0.93,2910,39682,670,7771,7806,36,0.554055506,43814,22753,17,0.50742442
567,Mycobacterium_sp_JDM601,76606,10537,0.879,4346,87142,670,111499,31094,31,0.58644847,160018,47730,21,0.61619959
568,Pseudomonas_stutzeri_KOS6,75948,6362,0.923,4464,82309,670,48439,24416,42,0.555737475,113588,44818,23,0.560103337
569,Silicibacter_lacuscaerulensis_ITI-1157,58883,2390,0.961,3611,61272,670,18276,15160,45,0.546985816,80223,33880,19,0.545743131
570,Staphylococcus_aureus,37079,2891,0.928,2992,39969,670,16560,8409,23,0.525329451,56401,21781,11,0.484539007
571,Vibrio_rumoiensis_1S-45,43463,1630,0.964,3057,45092,670,8861,9620,33,0.552203941,57966,25278,13,0.535487288
572,Helicobacter_cinaedi_CCUG_18818,23598,1266,0.949,2373,24863,669,1752,2345,108,0.513378279,35845,12883,64,0.387964504
573,Azorhizobium_caulinodans_ORS_571,61326,8139,0.883,4717,69464,668,37999,22670,25,0.547703333,102880,37906,13,0.555152395
574,Flavobacterium_branchiophilum_FL-15,26856,2098,0.928,2872,28953,668,4313,5528,72,0.554466773,28066,16299,39,0.488814318
575,Geobacter_sulfurreducens_PCA,58781,1614,0.973,3432,60394,668,29760,17435,16,0.569840217,83328,34047,10,0.585370314
576,Marinobacter_adhaerens_HP15,51328,5829,0.898,4180,57156,668,21930,15391,38,0.53579189,82951,30688,24,0.529300777
577,Pseudomonas_mendocina_EGD-AQ5,104502,4076,0.962,4762,108577,668,76166,32012,36,0.560318071,182745,58071,25,0.547141284
578,Pseudomonas_pseudoalcaligenes_AD6,119519,3840,0.969,4821,123358,668,101092,38061,29,0.545007365,248661,65418,20,0.559123013
579,Corynebacterium_jeikeium_K411,25603,621,0.976,2120,26223,667,6706,3938,46,0.558459288,29960,14808,16,0.474648748
580,Shewanella_sp_YQH10,62873,1891,0.971,3384,64763,667,23614,15512,31,0.562746775,95977,36212,17,0.55707787
581,Amycolatopsis_mediterranei_U32,126205,28274,0.817,9228,154478,666,182270,65196,35,0.535150195,291066,84239,24,0.546876712
582,Gallibacterium_genomosp_1,30751,1406,0.956,2072,32156,666,NA,NA,NA,NA,NA,NA,NA,NA
583,Gordonia_malaquae_NBRC_108250,69606,2948,0.959,4271,72553,665,27825,19690,58,0.545103501,111355,39571,38,0.549484728
584,Solemya_velum_gill_symbiont,38426,1144,0.971,2715,39569,665,8442,7682,27,0.513031455,54558,20752,13,0.520674859
585,Aggregatibacter_actinomycetemcomitans_D7S-1,25417,853,0.968,2255,26269,664,2038,3265,54,0.527031215,36487,13717,30,0.463962863
586,Candidatus_Pelagibacter_ubique_HTCC1062,18659,119,0.994,1354,18777,664,660,1116,21,0.526547988,22911,10191,4,0.451154529
587,Francisella_tularensis_subsp_tularensis_SCHU_S4,21768,368,0.983,1604,22135,664,994,1312,59,0.509846462,41420,11334,15,0.397980871
588,Halomonas_sp_BJGMM-B45,41185,5946,0.874,4215,47130,664,8905,11253,45,0.51863943,74596,24671,24,0.526739668
589,Eubacterium_yurii_subsp_margaretiae_ATCC_43715,34709,384,0.989,2134,35092,663,NA,NA,NA,0.512636798,60546,18015,28,NA
590,Arthrobacter_globiformis_NBRC_12137,65358,2803,0.959,4529,68160,663,15343,18725,60,0.564092719,82745,38228,33,0.583379862
591,Pseudomonas_cremoricolorata,46320,4993,0.903,4031,51312,663,14667,12482,49,0.525768964,67111,27830,32,0.493497557
592,Streptomyces_alboflavus,78837,17254,0.82,8121,96090,663,46776,36154,105,0.534221048,128554,53401,66,0.546785196
593,Saccharothrix_espanaensis_DSM_44229,73074,20901,0.778,8427,93974,661,45388,35302,97,0.561273419,98111,54544,60,0.536191348
594,Staphylococcus_carnosus_subsp_carnosus_TM300,34274,1187,0.967,2462,35460,661,14308,6609,31,0.546503132,46835,19171,15,0.492254067
595,Staphylococcus_pettenkoferi_VCU012,26946,758,0.973,2345,27703,660,2040,3366,58,0.518079662,40328,14885,30,0.443266172
596,Vibrio_tasmaniensis_LGP32,48926,5714,0.895,4431,54639,660,20394,13588,55,0.500857832,82146,27788,35,0.482900551
597,Neisseria_flavescens_NRL30031-H210,31140,1132,0.965,2531,32271,659,3466,4475,84,0.528859556,48002,16822,22,0.508012274
598,Psychromonas_ingrahamii_37,44827,2856,0.94,3545,47682,659,16583,11608,52,0.550716245,61642,26541,29,0.524362477
599,Bosea_sp_117,0,71002,0,4184,71001,658,92633,38899,12,0.556700749,92633,38899,12,0.556700749
600,Campylobacter_jejuni_subsp_jejuni_414,28277,796,0.973,1800,29072,658,1912,2770,32,0.539534427,44261,14946,10,0.538578295
601,Gallaecimonas_xiamenensis_3-C-1,68988,2954,0.959,3798,71941,657,26897,16949,26,0.563603518,101118,39760,13,0.552019116
602,Selenomonas_flueggei_ATCC_43531,40727,662,0.984,2117,41388,657,9869,6565,20,0.543117126,56288,22445,14,0.533201189
603,Campylobacter_jejuni_subsp_jejuni_NCTC_11168_equals_ATCC_700819,39219,90,0.998,1623,39308,656,NA,NA,NA,NA,NA,NA,NA,NA
604,Halomonas_anticariensis_FP35_equals_DSM_16096,78795,4656,0.944,4723,83450,656,36190,23412,37,0.557209395,109505,46434,25,0.551745575
605,Heliobacterium_modesticaldum_Ice1,34849,3133,0.918,3000,37981,656,9003,7048,65,0.525871495,60858,19751,33,0.494798928
606,Acetobacterium_woodii_DSM_1030,50148,2071,0.96,3473,52218,655,22267,12835,26,0.555170373,69814,28918,13,0.535965524
607,Candidatus_Photodesmus_blepharus,18971,6,1,916,18976,655,515,467,17,0.533158355,31325,9675,1,0.46560319
608,Grimontia_indica,84988,5101,0.943,4956,90088,655,49760,28152,47,0.554877966,121826,49656,25,0.554480068
609,Lactobacillus_casei_BL23,42696,1019,0.977,3005,43714,654,NA,NA,NA,NA,NA,NA,NA,NA
610,Listeria_welshimeri_serovar_6b_str_SLCC5334,40182,1525,0.963,2774,41706,654,7785,8175,29,0.550377225,51998,23457,19,0.524004425
611,Vibrio_breoganii_1C10,33427,3785,0.898,3729,37211,654,5943,8206,57,0.516970286,43732,20401,40,0.486255214
612,Deinococcus_gobiensis_I-0,28265,1579,0.947,3236,29843,653,5151,5584,95,0.532699053,38216,16237,29,0.467059839
613,Staphylococcus_warneri_L37603,40654,909,0.978,2381,41562,653,5956,6539,36,0.563355792,51177,23328,20,0.5370319
614,Vibrio_sp_RC586,63924,2512,0.962,3533,66435,653,28184,18577,40,0.592869686,84762,38212,26,0.573292774
615,Campylobacter_gracilis_RM3268,20681,1714,0.923,2847,22394,652,2067,2141,213,0.527881041,24814,11976,114,0.355808081
616,Desulfosporosinus_sp_OT,99625,4339,0.958,6209,103963,652,55419,32906,134,0.539811185,169547,55461,104,0.55793716
617,Arthrobacter_arilaitensis_Re117,29923,2975,0.91,3423,32897,651,4901,6084,91,0.546947935,38629,18545,52,0.454755435
618,Lactobacillus_plantarum_WCFS1,33570,2616,0.928,3107,36185,651,6107,6886,48,0.506615524,53459,19105,28,0.480676028
619,Actinobacillus_minor_NM305,31992,2052,0.94,2411,34043,650,7288,5378,32,0.542988719,49788,18677,11,0.506745121
620,Alishewanella_jeotgali_KCTC_22429,52732,3626,0.936,3491,56357,650,16920,13430,37,0.54048217,79989,30523,20,0.545908731
621,Cycloclasticus_zancles_7-ME,31926,2107,0.938,2584,34032,649,6272,6218,18,0.533291311,54153,18297,4,0.484099835
622,Kocuria_rhizophila_DC2201,28536,1999,0.935,2356,30534,649,7632,5838,34,0.52078681,44573,16227,12,0.506845004
623,Mycobacterium_hassiacum_DSM_44199,96723,7434,0.929,4959,104156,649,116515,34084,57,0.519765313,218804,52873,37,0.518448739
624,Peptoniphilus_indolicus_ATCC_29427,31540,1085,0.967,2269,32624,648,4638,4964,48,0.51943128,49312,16969,25,0.500076722
625,Pseudomonas_taeanensis_MS-3,99974,4321,0.959,4594,104294,648,65466,33210,28,0.554860958,161851,56780,17,0.564628387
626,Synechococcus_sp_PCC_7002,42066,2649,0.941,2862,44714,647,25757,13479,36,0.553390646,57989,24726,10,0.52690651
627,Acidobacterium_capsulatum_ATCC_51196,41085,2450,0.944,3382,43534,646,31418,10508,81,0.537038929,72896,23917,30,0.501598492
628,Flavobacterium_psychrophilum_JIP02-86,26795,1463,0.948,2446,28257,646,4821,5494,47,0.527784998,37724,15686,18,0.493977919
629,Neisseria_polysaccharea_ATCC_43768,28518,1510,0.95,2577,30027,646,3685,3403,114,0.523271577,49755,15726,40,0.456636133
630,Thalassobium_sp_R2A62,62936,3399,0.949,3696,66334,646,28924,17725,52,0.567215651,85320,37375,27,0.564125361
631,Alishewanella_agri_BL06,55658,2356,0.959,3159,58013,645,21022,14119,11,0.555467125,75431,32816,5,0.535159874
632,Pseudomonas_syringae_pv_syringae_B728a,59159,10480,0.85,5089,69638,645,NA,NA,NA,NA,NA,NA,NA,NA
633,Sphingomonas_sp_RIT328,72483,2609,0.965,4002,75091,645,22863,20032,64,0.548984581,131111,40977,33,0.583798762
634,Bordetella_hinzii_ATCC_51730,68361,1319,0.981,4561,69679,644,56734,15115,61,0.529081334,137436,37374,11,0.499820338
635,Actinomyces_cardiffensis_F0333,29962,432,0.986,1983,30393,643,2656,3642,51,0.522213024,44882,15746,18,0.516875603
636,Clostridium_botulinum_NCTC_2916,66294,1926,0.972,3668,68219,643,18941,15476,52,0.552143192,112405,37313,26,0.563239683
637,Frankia_alni_ACN14a,67393,12345,0.845,6711,79737,643,39037,28666,137,0.598840611,118386,43322,84,0.661457449
638,Kitasatospora_setae_KM-6054,84462,21887,0.794,7569,106348,643,114323,40524,63,0.524301168,199614,57832,36,0.531119259
639,Mycobacterium_mageritense_DSM_44476,149484,9236,0.942,7675,158719,643,139265,61918,68,0.562164422,255465,88160,52,0.573943417
640,Clostridium_litorale_DSM_5388,59218,971,0.984,3092,60188,642,13983,13073,37,0.551835494,87619,32683,14,0.567324604
641,Mycobacterium_triplex,124139,9250,0.931,5890,133388,642,177504,47619,51,0.581805729,285455,70226,38,0.609509918
642,Aggregatibacter_actinomycetemcomitans_RhAA1,24820,2000,0.925,2148,26819,641,3488,4087,37,0.543240974,32246,14544,9,0.487341772
643,Grimontia_hollisae_CIP_101886,61043,4210,0.935,3567,65252,641,48377,18121,25,0.517351542,125894,33853,12,0.513339293
644,Desulfovibrio_magneticus_RS-1,90401,5250,0.945,4694,95650,640,114793,33085,72,0.528964951,215569,49932,52,0.549556471
645,Halomonas_sp_TD01,66240,2721,0.961,3827,68960,640,25627,18382,23,0.555063598,100467,38277,13,0.551039944
646,Prevotella_buccae_ATCC_33574,33689,1909,0.946,2896,35597,640,6795,7123,71,0.534732188,39993,19103,29,0.512614
647,Psychromonas_sp_CNPT3,35597,1227,0.967,2580,36823,640,6074,6354,35,0.521496371,52878,19878,17,0.484406918
648,Brachyspira_pilosicoli_95-1000,27373,800,0.972,2301,28172,639,9029,4804,49,0.5332688,43301,15158,14,0.47656755
649,Alteromonas_macleodii_str_Black_Sea_11,46952,4403,0.914,3772,51354,638,NA,NA,NA,NA,NA,NA,NA,NA
650,Avibacterium_paragallinarum_221,30993,5107,0.859,2834,36099,638,10745,6857,48,0.539706791,52270,19320,24,0.503779924
651,Ignavibacterium_album_JCM_16511,48313,2929,0.943,3195,51241,638,42547,12774,31,0.516933311,101026,26661,15,0.492843327
652,Campylobacter_concisus_ATCC_51562,21843,835,0.963,1851,22677,637,2022,2304,48,0.530843237,34002,12064,18,0.458023986
653,Carboxydothermus_hydrogenoformans_Z-2901,37392,1249,0.968,2620,38640,637,6024,7081,24,0.553052797,47642,21630,18,0.513340448
654,Neisseria_cinerea_ATCC_14685,28574,577,0.98,2127,29150,637,2785,3102,66,0.543487762,36287,16023,25,0.479065239
655,Nocardia_farcinica_IFM_10152,67019,10143,0.869,5853,77161,637,40852,24287,46,0.547558317,103881,42703,26,0.509871442
656,Tenacibaculum_maritimum_NBRC_15946,23113,2912,0.888,2911,26024,637,4851,5095,105,0.526090145,30296,14136,76,0.475453048
657,Amphibacillus_xylanus_NBRC_15112,33305,1173,0.966,2411,34477,636,5675,5215,33,0.498346761,55993,16872,16,0.483586869
658,Brachyspira_hyodysenteriae_WA1,36329,790,0.979,2644,37118,636,20593,8597,70,0.548455763,58616,20944,29,0.50055814
659,Corynebacterium_striatum_ATCC_6940,25708,1443,0.947,2677,27150,636,8430,4770,74,0.547420625,30201,15150,31,0.465644076
660,Pseudoalteromonas_sp_OCN003,53685,8240,0.867,4003,61924,636,31063,18475,43,0.519094499,97202,33168,27,0.518435155
661,Streptomyces_cattleya_NRRL_8057_equals_DSM_46488,55162,9026,0.859,5765,64187,636,20136,21671,88,0.54224689,78748,36839,58,0.532941766
662,Alteromonas_australica,43371,4042,0.915,3445,47412,634,17325,11844,40,0.53494435,61763,25842,20,0.51142315
663,Methylacidiphilum_fumariolicum_SolV,29635,472,0.984,2208,30106,634,3693,4113,105,0.556231641,38145,16690,66,0.543128353
664,Rhodopirellula_baltica_SH_1,85343,8812,0.906,7325,94154,634,175086,36284,233,0.522088948,232826,50382,175,0.506142964
665,Asticcacaulis_biprosthecum_C19,53569,6168,0.897,4712,59736,633,28382,17243,99,0.553042542,69596,33023,55,0.534893886
666,Methylibium_petroleiphilum_PM1,54404,5599,0.907,4449,60002,633,21595,16817,39,0.53731972,72340,32826,25,0.52553646
667,Corynebacterium_variabile_DSM_44702,30247,1903,0.941,3039,32149,632,7424,6744,56,0.570187793,34376,18284,26,0.502353495
668,Marinobacter_nanhaiticus_D15-8W,90979,4407,0.954,4765,95385,632,54092,29560,29,0.566950303,146283,53295,19,0.569377322
669,Photobacterium_leiognathi_lrivu41,72100,3453,0.954,4222,75552,632,NA,NA,NA,NA,NA,NA,NA,NA
670,Pseudomonas_putida_W619,60851,9800,0.861,5182,70650,632,31451,21836,66,0.551383,82631,40372,48,0.520173879
671,Endozoicomonas_elysicola,50332,2223,0.958,4149,52554,630,10663,13777,113,0.583827607,55779,30107,66,0.58326017
672,Prevotella_dentalis_DSM_3688,23418,3513,0.87,2533,26930,630,6824,6138,58,0.539790911,30139,14752,30,0.500345352
673,Alteromonas_sp_SN2,45960,5822,0.888,4371,51781,628,16341,14142,81,0.51746071,63505,27949,61,0.512337371
674,Burkholderiales_bacterium_1_1_47,29757,1199,0.961,2377,30955,628,5125,5112,40,0.545451597,41506,16819,21,0.547290275
675,Enhydrobacter_aerosaccus_SK60,34549,1004,0.972,2573,35552,628,19204,6431,60,0.512575245,56486,18438,16,0.478881411
676,Pseudoalteromonas_rubra_ATCC_29570,59957,9560,0.862,4971,69516,628,30751,22679,73,0.540576281,86872,38011,61,0.536288625
677,Pseudomonas_alkylphenolia,58436,9391,0.862,5177,67826,628,23541,20978,54,0.522240718,92917,36730,38,0.527939391
678,Streptococcus_mitis_ATCC_6249,33274,228,0.993,1793,33501,628,2609,4283,20,0.539253711,51904,17446,2,0.543653386
679,Avibacterium_paragallinarum_72,30143,1765,0.945,2330,31907,627,3823,4831,30,0.540101252,41263,17404,11,0.49352271
680,Chryseobacterium_indologenes_NBRC_14944,38496,5220,0.881,4192,43715,627,13692,11854,62,0.529074405,60284,23691,27,0.481264732
681,Lactococcus_garvieae_I113,37300,839,0.978,2151,38138,627,3713,5125,50,0.546264262,53228,20971,22,0.523283203
682,Methylacidiphilum_infernorum_V4,24787,891,0.965,2472,25677,627,5867,3820,100,0.537787565,36855,13995,61,0.455307263
683,Streptococcus_sp_oral_taxon_071_str_73H25AP,32994,513,0.985,1924,33506,627,2514,4318,23,0.580198444,40828,18596,10,0.540924555
684,Campylobacter_ureolyticus,19454,655,0.967,1697,20108,626,2143,1722,57,0.545606044,22177,10946,20,0.407963674
685,Tolumonas_auensis_DSM_9187,41335,4295,0.906,3130,45629,626,16833,10633,21,0.528910328,65263,24571,7,0.495998254
686,Aggregatibacter_aphrophilus_NJ8700,23991,997,0.96,2231,24987,625,2073,3461,48,0.542414643,34687,13748,21,0.477922672
687,Candidatus_Photodesmus_katoptron,18998,5,1,866,19002,625,337,388,9,0.547495362,35384,9412,1,0.418918919
688,Flavobacterium_indicum_GPTSA100-9_equals_DSM_17447,26696,1892,0.934,2671,28587,625,5711,5626,46,0.495876549,47639,14554,22,0.4817355
689,Bacillus_coagulans_2-6,37282,1068,0.972,2971,38349,624,6647,8011,56,0.529416777,53349,20744,26,0.510595611
690,Coxiella_burnetii_RSA_493,22913,406,0.983,1852,23318,624,1473,2231,72,0.554275567,33952,12811,21,0.477226377
691,Staphylococcus_haemolyticus_JCSC1435,30052,1778,0.944,2674,31829,624,3826,5108,55,0.541484089,42498,17273,32,0.476648841
692,Weissella_cibaria_KACC_11862,24885,643,0.975,2100,25527,624,2192,3419,46,0.513653626,34464,13812,17,0.449529621
693,Lactobacillus_antri_DSM_16041,34391,890,0.975,2224,35280,623,2481,4782,51,0.55300167,51242,18931,14,0.542739242
694,Mobiluncus_curtisii_subsp_curtisii_ATCC_35241,34711,420,0.988,1894,35130,623,5317,4626,35,0.549320132,48685,19222,12,0.535864979
695,Streptococcus_salivarius_57I,22809,479,0.979,1941,23287,623,NA,NA,NA,NA,NA,NA,NA,NA
696,Clostridium_butyricum_E4_str_BoNT_E_BL5262,45547,5387,0.894,4301,50933,622,11827,13132,56,0.56832922,53345,29266,32,0.533718815
697,Pseudoalteromonas_citrea_NCIMB_1889,89077,5003,0.947,4458,94079,622,62758,28721,44,0.544371079,150921,49514,30,0.54262648
698,Pseudomonas_pseudoalcaligenes_KF707,128370,9477,0.931,6111,137846,622,135599,47491,30,0.559228366,243634,74789,21,0.544766012
699,Shewanella_sp_ANA-3,53270,6327,0.894,4360,59596,622,22290,17850,54,0.547168216,78496,32690,39,0.549130435
700,Pseudoalteromonas_agarivorans_S816,62153,5693,0.916,3983,67845,621,28688,18659,33,0.548179634,91890,36610,23,0.546085139
701,Pseudomonas_putida_F1,72601,14265,0.836,5250,86865,621,73979,30814,21,0.537410374,152130,46854,16,0.546931769
702,Aerococcus_viridans_ATCC_11563,24753,524,0.979,1929,25276,620,2937,2985,49,0.550245594,35561,13937,24,0.4536
703,Alteromonas_macleodii_str_Deep_ecotype,44818,6690,0.87,3965,51507,620,NA,NA,NA,NA,NA,NA,NA,NA
704,Bartonella_schoenbuchensis_m07a,23045,731,0.969,1418,23775,620,3679,2128,30,0.496946805,41197,11696,12,0.455295282
705,Candidatus_Pelagibacter_sp_HTCC7211,25308,201,0.992,1447,25508,620,1573,2707,18,0.557654814,29207,14236,5,0.563661972
706,Marinobacter_santoriniensis_NKSG1,72573,2464,0.967,3692,75036,620,47876,20641,20,0.565444902,106704,41662,13,0.541904579
707,Streptococcus_cristatus_ATCC_51100,30184,483,0.984,1967,30666,620,1875,3493,31,0.558631064,44514,16445,6,0.520077878
708,Marinomonas_sp_D104,63999,2694,0.96,3576,66692,619,30790,17463,35,0.548462018,103400,35728,24,0.552658439
709,Ochrobactrum_rhizosphaerae_SJY1,65567,11692,0.849,5001,77258,619,39160,22885,51,0.515486925,126398,40006,37,0.525507976
710,Pseudomonas_putida_GB-1,61158,11835,0.838,5409,72992,619,33795,23975,47,0.523280613,114971,38688,32,0.539201954
711,Shewanella_woodyi_ATCC_51908,53883,7804,0.873,4880,61686,619,19979,18141,63,0.556618948,58899,35751,42,0.527662915
712,Synechococcus_sp_RCC307,27655,962,0.966,2535,28616,619,NA,NA,NA,NA,NA,NA,NA,NA
713,Arthrobacter_gangotriensis_Lz1y,49265,1783,0.965,4017,51047,618,12451,14173,63,0.55163516,57037,28942,36,0.547637771
714,Bartonella_vinsonii_subsp_berkhoffii_str_Winnie,18643,837,0.957,1434,19479,618,4883,2166,39,0.496641814,35722,9575,13,0.466057839
715,Catenovulum_agarivorans_DS-2,68510,5790,0.922,3835,74299,618,34001,22347,23,0.560706726,104633,40436,12,0.57563554
716,Chlamydia_sp_Rubis,22248,1238,0.947,2446,23485,618,3433,2836,133,0.52496,28974,12255,52,0.432583065
717,Mycobacterium_vulneris,141430,11004,0.928,6653,152433,618,170724,59264,46,0.551626235,290622,82469,34,0.564457393
718,Nocardia_nova_SH22a,118508,19160,0.861,7577,137667,618,121474,52183,79,0.528449791,244954,74043,52,0.547720406
719,Nocardiopsis_alba_ATCC_BAA-2165,41715,10007,0.807,5508,51721,618,14662,14992,123,0.524898374,65849,28113,70,0.517864266
720,Actinomyces_sp_oral_taxon_180_str_F0310,32049,591,0.982,2070,32639,617,8035,5019,49,0.54422658,40326,17723,21,0.511590727
721,Pseudomonas_mendocina_NK-01,79228,11440,0.874,4958,90667,617,74964,29274,21,0.561900537,137670,50614,9,0.543384715
722,Burkholderia_phenoliruptrix_BR3459a,78036,12927,0.858,6496,90962,616,57839,32230,60,0.538980758,123334,48604,39,0.534288374
723,Capnocytophaga_sp_oral_taxon_338_str_F0234,28877,1729,0.944,2445,30605,616,6198,5454,60,0.533855415,41015,16133,36,0.496386283
724,Pandoraea_sp_SD6-2,92785,5827,0.941,5148,98611,616,57747,31348,45,0.529863223,200490,51722,29,0.567117736
725,Prevotella_oralis_ATCC_33269,29207,1480,0.952,2488,30686,616,6110,5430,50,0.546824497,38745,16359,23,0.524274593
726,Pseudomonas_fluorescens_NZ007,99063,6035,0.943,5421,105097,616,44650,35532,40,0.569691643,139540,58674,31,0.595826079
727,Shewanella_putrefaciens_CN-32,64468,4823,0.93,3972,69290,616,36482,20967,27,0.576032577,95598,39886,17,0.556059918
728,Streptococcus_oralis_ATCC_35037,33406,553,0.984,1847,33958,616,3944,4748,20,0.523115369,52554,17079,4,0.550151976
729,Capnocytophaga_ochracea_F0287,31874,1366,0.959,2333,33239,615,7005,6833,51,0.595383629,36957,19007,13,0.543295212
